isbn,genre,pages
9780698152427,Fiction,400
9780345521323,Fiction,336
9781101989753,Fiction,480
9781429985215,Fiction,304
9780062414236,Fiction,432
9780778330271,Fiction,384
9780316097529,Fiction,416
9780385543989,Fiction,576
9781455589913,Fiction,496
9780062888341,Fiction,288
9780446401319,Fiction,288
9780316127233,Fiction,400
9780316055086,Fiction,349
9780553897852,Fiction,784
9780553905656,Fiction,1040
9780316210942,Fiction,400
9780385535137,Fiction,385
9780593135204,Fiction,496
9781455586554,Fiction,432
9780316407090,Fiction,400
9781455586493,Fiction,432
9781250220257,Fiction,480
9781455521289,Fiction,448
9781455520701,Fiction,300
9780446573009,Fiction,432
9780525541905,Fiction,320
9780399593543,Fiction,356
9780399593499,Fiction,384
9780399590597,Fiction,416
9781455586387,Fiction,328
9780525954972,Fiction,928
9780593359532,Fiction,496
9781455586455,Fiction,432
9781455521234,Fiction,432
9780593329825,Fiction,400
9781429904605,Fiction,336
9781984806734,Fiction,384
9781524796297,Fiction,736
9781250069818,Fiction,432
9781538761502,Fiction,432
9781984818461,FICTION,351
9781538761410,Fiction,432
9781538761397,Fiction,432
9780804172066,Fiction,496
9781984818423,Fiction,400
9780804178754,Fiction,544
9781501193323,Fiction,320
9780735224292,Fiction,352
9780440246329,Fiction,607
9781984818539,Fiction,384
9781455586417,Fiction,432
9780440339359,Fiction,608
9781101874288,Fiction,368
9780345527707,Fiction,324
9780316498029,Fiction,400
9781789096491,Fiction,272
9781538761465,Fiction,432
9781984818416,Fiction,336
9780446573078,Fiction,432
9781455586639,Fiction,432
9781101475690,Fiction,592
9781250072689,Fiction,272
9780307351937,Fiction,352
9781538761625,Fiction,432
9780316069380,Fiction,448
9780345543011,Fiction,352
9781524796280,Fiction,706
9781101636497,Fiction,608
9780316405409,Fiction,432
9780964729292,Fiction,256
9780812998610,Fiction,368
9780316337977,Fiction,480
9780812996548,Fiction,304
9780316316149,Fiction,272
9780399593512,Fiction,382
9780316126946,Fiction,448
9781439149706,Fiction,480
9780062294449,Fiction,240
9780804178761,Fiction,368
9780316129183,Fiction,448
9780316419994,Fiction,432
9780316228534,Fiction,512
9780316210690,Fiction,448
9781101604915,Fiction,352
9781250133731,Fiction,384
9781250130938,Fiction,352
9781594634734,Fiction,480
9781101621219,Fiction,315
9781501111679,Fiction,495
9780316211192,Fiction,432
9780316210928,Fiction,448
9780316485623,Fiction,400
9781455589906,Fiction,480
9781538728536,Fiction,320
9780316494021,Fiction,368
9780316420013,Fiction,432
9780316211284,Fiction,416
9781538761557,Fiction,416
9780316097550,Fiction,416
9780316097482,Fiction,416
9780399179242,Fiction,336
9780316225915,Fiction,400
9780316417501,Fiction,432
9780316225977,Fiction,416
9780446573030,Fiction,448
9781439100523,Fiction,400
9780345542908,Fiction,320
9780345542977,Fiction,352
9780316069397,Fiction,448
9781451627282,Fiction,849
9781455521227,Fiction,432
9781984898326,Fiction,512
9780316457149,Fiction,400
9781538729083,Fiction,480
9780316457484,Fiction,380
9780312537074,Fiction,513
9780399181276,Fiction,448
9781476770383,Fiction,405
9781982154837,Fiction,320
9780804178808,Fiction,369
9780316097413,Fiction,416
9780804178785,Fiction,416
9780345544933,Fiction,416
9781984818515,Fiction,352
9781538761434,Fiction,432
9780593465271,Poetry,29
9780062424105,Fiction,432
9780385350082,Fiction,416
9780385543910,Fiction,560
9780316225953,Fiction,400
9781476754468,Fiction,516
9780316540735,Fiction,519
9781455561803,Fiction,400
9780735224476,Fiction,928
9780547416212,Fiction,368
9780316316132,Fiction,272
9780553801477,Fiction,1016
9780698186200,Fiction,400
9780345804341,Fiction,224
9780316375245,Fiction,480
9780385549325,Fiction,320
9780062943477,Fiction,656
9780515154122,Fiction,450
9780451494337,Fiction,337
9780812998603,Fiction,368
9780062049827,Fiction,384
9780399593482,Fiction,368
9781488051128,Fiction,384
9780316258678,Fiction,368
9781538750551,Fiction,416
9781538761687,Fiction,416
9781538719848,Fiction,432
9780316407144,Fiction,400
9781101580363,Fiction,522
9781101604922,Fiction,368
9781101611029,Fiction,464
9780553448122,Fiction,305
9780440246312,Fiction,606
9780316225946,Fiction,400
9780316375207,Fiction,432
9781101608067,Fiction,336
9780316128650,Fiction,624
9781449486808,Poetry,192
9780316273947,Fiction,432
9780399593598,Fiction,512
9780316420273,Fiction,368
9781429957861,Fiction,384
9780316334501,Fiction,384
9781101988848,Fiction,384
9780345543004,FICTION,288
9781501101748,Fiction,436
9781538750568,Fiction,432
9780316228558,Fiction,512
9780316097574,Fiction,416
9781439102725,Fiction,466
9780316256568,Fiction,406
9780316225908,Fiction,416
9780062320070,Fiction,512
9780316206815,Fiction,448
9780316274043,Fiction,368
9780062834843,Fiction,496
9780316210843,Fiction,512
9780525953098,Fiction,1098
9780316210683,Fiction,352
9781429969185,Fiction,416
9780316206914,Fiction,464
9780345542946,Fiction,352
9780316211246,Fiction,416
9780345542960,Fiction,292
9780316408769,Fiction,384
9781101617281,Fiction,512
9781538748145,Fiction,400
9780316225885,Fiction,400
9780316290050,Fiction,384
9780440339373,Fiction,416
